Site,d15N,d13C 
Bco Santos,10.75,-19.99
Bco Santos,10.59,-19.4
Bco Santos,10.28,-19.56
Cruz Animas,10.41,-19.77
Cruz Animas,12.18,-19.04
Cruz Animas,11.9,-19.64
Cruz Animas,12.57,-19.53
Cruz Animas,11.16,-19.39
Cruz Animas,13.2,-18.77
Cruz Animas,11.31,-19.32
Hoya Fria,11.23,-20.11
Hoya Fria,10.65,-20.01
Hoya Fria,10.9,-19.93
Hoya Fria,11.2,-20.25
Hoya Fria,10.92,-19.65
Hoya Fria,11.1,-18.83
Hoya Fria,10.63,-19.89
Hoya Fria,9.99,-19.9
Hoya Fria,10.26,-19.9
Hoya Fria,10.03,-19.42
Hoya Fria,12.23,-18.6
Hoya Fria,11.36,-19.34
Hoya Fria,10.53,-19.8
Hoya Fria,11.48,-18.8
Hoya Fria,11.01,-19.45
Hoya Fria,11.59,-18.99
Hoya Fria,12.04,-18.25
Hoya Fria,10.72,-19.64
Mt Guerra,10.05,-19.01
Mt Guerra,9.88,-20.23
Mt Guerra,11.33,-19.22
Mt Guerra,12.28,-18.92
Mt Guerra,10.96,-18.95
Mt Guerra,11.62,-18.49
Mt Guerra,12.7,-18.69
Mt Guerra,13.17,-20.14
Majagora,9.79,-20.48
Majagora,9.74,-19.89
Majagora,9.99,-19.1
Majagora,9.63,-19.36
Majagora,10.25,-19.67
Majagora,11.06,-19.06
Majagora,10.01,-19.12
Majagora,11.83,-18.69
Majagora,11.78,-18.95
Majagora,9.99,-19.4
Maspalomas,11.84,-18.64
Maspalomas,10.83,-18.28
Maspalomas,10.56,-19.23
Maspalomas,12.7,-18.3
Maspalomas,10.74,-19.77
Maspalomas,10.76,-19.75
Maspalomas,10.04,-19.64
Maspalomas,11.24,-19.66
Maspalomas,11.19,-19.34
Maspalomas,10.56,-18.75
Pico Yeje,10.74,-19.42
Pico Yeje,11.31,-19.01
Pico Yeje,13.51,-18.76
Pico Yeje,12.36,-18.58
Pico Yeje,10.34,-19.76
Risco Perro,12.63,-18.55
Risco Perro,11.43,-19.17
Risco Perro,10.09,-19.29
Risco Perro,12.17,-18.57
Risco Perro,12.15,-18.89
Risco Perro,11.35,-18.87
Risco Perro,10.74,-19.87
Risco Perro,9.49,-19.58
Risco Perro,11.42,-19.57
Risco Perro,10.76,-19.31
Risco Perro,11.73,-19.42
Risco Perro,9.55,-19.52
Uchova,11.19,-19.24
Uchova,10.07,-19.56
Uchova,11.14,-19.53
Uchova,13.13,-19
Uchova,12.24,-18.71
Uchova,12.89,-19.12
Uchova,12.35,-18.96
Uchova,11.41,-18.69
Uchova,12.09,-18.24
Uchova,13.33,-18.99
Uchova,12.09,-18.48
Uchova,12.17,-18.8
Uchova,12.32,-19.81